,ORIGIN,DEST,CANCELLED,DIVERTED,DELAY,DISTANCE,ORIGIN_LAT,ORIGIN_LON,DEST_LAT,DEST_LON,FL_DAY,FL_DATE,DELAY_OVERALL,DELAY_TOTAL,TIME_PERIOD
54448,SLC,PHX,False,False,True,507,40.78838778,-111.9777731,33.43416667,-112.0080556,24.0,2023-01-24,3063,3063.0,Manhã
78619,BNA,CLT,False,False,True,328,36.12447667,-86.67818222,35.21401111,-80.94312583,26.0,2023-01-26,2687,2687.0,Manhã
20076,SNA,JFK,False,False,True,2454,33.67565861,-117.8682225,40.63975111,-73.77892556,3.0,2023-01-03,2557,2557.0,Manhã
47357,LAS,CLT,False,False,True,1916,36.08036111,-115.1523333,35.21401111,-80.94312583,19.0,2023-01-19,2229,2229.0,Noite
72644,ORD,LAX,False,False,True,1744,41.979595,-87.90446417,33.94253611,-118.4080744,21.0,2023-01-21,2078,2078.0,Noite
25061,PBI,CLT,False,False,True,590,26.68316194,-80.09559417,35.21401111,-80.94312583,22.0,2023-01-22,2061,2061.0,Noite
55073,LAX,DFW,False,False,True,1235,33.94253611,-118.4080744,32.89595056,-97.0372,13.0,2023-01-13,2027,2027.0,Noite
50302,PBI,CLT,False,False,True,590,26.68316194,-80.09559417,35.21401111,-80.94312583,17.0,2023-01-17,1927,1927.0,Noite
56312,STL,PHL,False,False,True,814,38.74768694,-90.35998972,39.87195278,-75.24114083,16.0,2023-01-16,1877,1877.0,Tarde
88169,DTW,PHX,False,False,True,1671,42.21205889,-83.34883583,33.43416667,-112.0080556,8.0,2023-01-08,1775,1775.0,Noite
226245,GFK,SFB,False,False,True,1573,47.949255,-97.17611111,28.77764,-81.23748944,3.0,2023-01-03,1755,1755.0,Tarde
425710,HPN,DCA,False,False,True,234,41.06695778,-73.70757444,38.85208333,-77.03772222,11.0,2023-01-11,1740,1740.0,Tarde
224859,SFB,GFK,False,False,True,1573,28.77764,-81.23748944,47.949255,-97.17611111,3.0,2023-01-03,1736,1736.0,Tarde
84026,IND,DFW,False,False,True,761,39.71732917,-86.29438417,32.89595056,-97.0372,15.0,2023-01-15,1729,1729.0,Noite
113451,MSP,JFK,False,False,True,1029,44.88054694,-93.2169225,40.63975111,-73.77892556,3.0,2023-01-03,1716,1716.0,Manhã
23384,AMA,DFW,False,False,True,312,35.2193725,-101.7059272,32.89595056,-97.0372,5.0,2023-01-05,1691,1691.0,Manhã
29824,MEM,PHX,False,False,True,1264,35.04241667,-89.97666667,33.43416667,-112.0080556,14.0,2023-01-14,1688,1688.0,Manhã
79257,IND,CLT,False,False,True,427,39.71732917,-86.29438417,35.21401111,-80.94312583,9.0,2023-01-09,1686,1686.0,Tarde
29175,SEA,PHX,False,False,True,1107,47.44898194,-122.3093131,33.43416667,-112.0080556,29.0,2023-01-29,1667,1667.0,Tarde
462416,MSN,DTW,False,False,True,311,43.13985778,-89.33751361,42.21205889,-83.34883583,28.0,2023-01-28,1653,1653.0,Tarde
61677,ABQ,DFW,False,False,True,569,35.04022222,-106.6091944,32.89595056,-97.0372,27.0,2023-01-27,1648,1648.0,Tarde
75165,MSN,DFW,False,False,True,821,43.13985778,-89.33751361,32.89595056,-97.0372,30.0,2023-01-30,1627,1627.0,Tarde
41728,SBA,DFW,False,False,True,1316,34.42621194,-119.8403733,32.89595056,-97.0372,3.0,2023-01-03,1581,1581.0,Manhã
65216,OMA,CLT,False,False,True,913,41.30251861,-95.89417306,35.21401111,-80.94312583,5.0,2023-01-05,1580,1580.0,Manhã
48593,BUF,CLT,False,False,True,546,42.94052472,-78.73216667,35.21401111,-80.94312583,30.0,2023-01-30,1566,1566.0,Manhã
90123,OMA,DFW,False,False,True,583,41.30251861,-95.89417306,32.89595056,-97.0372,26.0,2023-01-26,1561,1561.0,Manhã
113242,BUF,MCO,False,False,True,1011,42.94052472,-78.73216667,28.42888889,-81.31602778,3.0,2023-01-03,1559,1559.0,Manhã
23549,GRR,DFW,False,False,True,931,42.88081972,-85.52276778,32.89595056,-97.0372,1.0,2023-01-01,1554,1554.0,Manhã
48439,SRQ,CLT,False,False,True,547,27.39533333,-82.55411111,35.21401111,-80.94312583,22.0,2023-01-22,1547,1547.0,Tarde
228723,BOS,VPS,False,False,True,1187,42.3643475,-71.00517917,30.48325,-86.5254,3.0,2023-01-03,1525,1525.0,Tarde
77224,MSN,CLT,False,False,True,708,43.13985778,-89.33751361,35.21401111,-80.94312583,8.0,2023-01-08,1505,1505.0,Manhã
224669,VPS,BOS,False,False,True,1187,30.48325,-86.5254,42.3643475,-71.00517917,3.0,2023-01-03,1496,1496.0,Manhã
